Cell Type	Count
hepatic stellate cell	2
hepatocyte	650
immature B cell	202
immature NKT cell	17
immature T cell	680
intermediate monocyte	96
interneuron	98
intestinal crypt stem cell	355
keratinocyte	2140
keratinocyte stem cell	26
kidney capillary endothelial cell	20
kidney cell	0
kidney collecting duct epithelial cell	251
kidney collecting duct principal cell	172
kidney cortex artery cell	79
kidney distal convoluted tubule epithelial cell	198
kidney interstitial fibroblast	0
kidney loop of Henle ascending limb epithelial cell	70
kidney loop of Henle thick ascending limb epithelial cell	247
kidney mesangial cell	37
kidney proximal convoluted tubule epithelial cell	1117
kidney proximal straight tubule epithelial cell	0
Kupffer cell	328
Langerhans cell	17
large intestine goblet cell	391
late pro-B cell	201
leukocyte	311
luminal epithelial cell of mammary gland	1096
lung macrophage	16
lung neuroendocrine cell	1
lymphocyte	108
lymphoid progenitor cell	13
macrophage	2418
macrophage dendritic cell progenitor	16
mast cell	25
mature alpha-beta T cell	149
mature NK T cell	651
medium spiny neuron	11
megakaryocyte-erythroid progenitor cell	470
mesangial cell	42
mesenchymal cell	0
mesenchymal progenitor cell	0
mesenchymal stem cell	3350
mesenchymal stem cell of adipose	2353
microglial cell	4511
monocyte	756
mucus secreting cell	7
myeloid cell	2142
myeloid dendritic cell	156
myeloid leukocyte	116
naive B cell	1170
naive T cell	438
neuroendocrine cell	0
neuroepithelial cell	140
neuron	123
neuronal stem cell	12
neutrophil	488
NK cell	671
non-classical monocyte	223
oligodendrocyte	564
oligodendrocyte precursor cell	94
pancreatic A cell	220
pancreatic acinar cell	190
pancreatic B cell	1842
pancreatic D cell	178
pancreatic ductal cel	51
pancreatic ductal cell	78
pancreatic PP cell	136
pancreatic stellate cell	15
pericyte cell	27
plasma cell	180
plasmacytoid dendritic cell	25
podocyte	72
precursor B cell	378
proerythroblast	1035
professional antigen presenting cell	132
promonocyte	796
pulmonary interstitial fibroblast	13
regulatory T cell	48
respiratory basal cell	30
Schwann cell	46
secretory cell	172
skeletal muscle cell	29
skeletal muscle satellite cell	1198
smooth muscle cell	285
smooth muscle cell of the pulmonary artery	79
smooth muscle cell of trachea	39
stem cell of epidermis	4
stromal cell	606
T cell	1990
thymocyte	1095
type I pneumocyte	0
type II pneumocyte	73
valve cell	41
vein endothelial cell	153
ventricular myocyte	0
adventitial cell	661
alveolar macrophage	1166
aortic endothelial cell	349
astrocyte	485
atrial myocyte	303
B cell	28805
basal cell	2827
basal cell of epidermis	12544
basal epithelial cell of tracheobronchial tree	738
basophil	289
Bergmann glial cell	40
bladder cell	3199
bladder urothelial cell	4851
blood cell	88
brain pericyte	219
bronchial smooth muscle cell	2756
brush cell	325
Brush cell of epithelium proper of large intestine	121
bulge keratinocyte	1913
cardiac neuron	62
cardiomyocyte	282
CD4-positive, alpha-beta T cell	1262
CD8-positive, alpha-beta T cell	1283
chondrocyte	1891
ciliated columnar cell of tracheobronchial tree	97
classical monocyte	7063
club cell of bronchiole	28
dendritic cell	88
DN3 thymocyte	86
DN4 thymocyte	2801
double negative T cell	630
duct epithelial cell	2
early pro-B cell	56
endocardial cell	875
endothelial cell	10681
endothelial cell of coronary artery	5234
endothelial cell of hepatic sinusoid	935
endothelial cell of lymphatic vessel	116
enterocyte of epithelium of large intestine	2853
enteroendocrine cell	122
ependymal cell	16
epidermal cell	2096
epithelial cell	598
epithelial cell of large intestine	1389
epithelial cell of proximal tubule	2920
epithelial cell of thymus	82
erythroblast	2710
erythrocyte	326
erythroid progenitor	408
fenestrated cell	1055
fibroblast	2764
fibroblast of cardiac tissue	5007
fibroblast of lung	1671
fibrocyte	40
granulocyte	12750
granulocyte monocyte progenitor cell	114
granulocytopoietic cell	6639
hematopoietic precursor cell	1810
hematopoietic stem cell	2573
hepatic stellate cell	37
hepatocyte	3441
immature B cell	1213
immature NKT cell	67
immature T cell	1104
intermediate monocyte	1665
interneuron	142
intestinal crypt stem cell	1563
keratinocyte	10217
keratinocyte stem cell	427
kidney capillary endothelial cell	141
kidney cell	3
kidney collecting duct epithelial cell	219
kidney collecting duct principal cell	774
kidney cortex artery cell	302
kidney distal convoluted tubule epithelial cell	546
kidney interstitial fibroblast	16
kidney loop of Henle ascending limb epithelial cell	277
kidney loop of Henle thick ascending limb epithelial cell	1307
kidney mesangial cell	224
kidney proximal convoluted tubule epithelial cell	3343
kidney proximal straight tubule epithelial cell	95
Kupffer cell	2480
Langerhans cell	158
large intestine goblet cell	1354
late pro-B cell	742
leukocyte	1347
luminal epithelial cell of mammary gland	1575
lung macrophage	1150
lung neuroendocrine cell	7
lymphocyte	1493
lymphoid progenitor cell	0
macrophage	7213
macrophage dendritic cell progenitor	132
mast cell	51
mature alpha-beta T cell	181
mature NK T cell	2510
medium spiny neuron	92
megakaryocyte-erythroid progenitor cell	2322
mesangial cell	51
mesenchymal cell	879
mesenchymal progenitor cell	1676
mesenchymal stem cell	11116
mesenchymal stem cell of adipose	4273
microglial cell	8757
monocyte	2918
mucus secreting cell	66
myeloid cell	2285
myeloid dendritic cell	462
myeloid leukocyte	400
naive B cell	2187
naive T cell	1130
neuroendocrine cell	48
neuroepithelial cell	11
neuron	361
neuronal stem cell	85
neutrophil	217
NK cell	2691
non-classical monocyte	936
oligodendrocyte	1530
oligodendrocyte precursor cell	218
pancreatic A cell	611
pancreatic acinar cell	2527
pancreatic B cell	2174
pancreatic D cell	285
pancreatic ductal cel	287
pancreatic ductal cell	235
pancreatic PP cell	92
pancreatic stellate cell	54
pericyte cell	72
plasma cell	1466
plasmacytoid dendritic cell	97
podocyte	424
precursor B cell	1393
proerythroblast	3642
professional antigen presenting cell	2480
promonocyte	3046
pulmonary interstitial fibroblast	259
regulatory T cell	122
respiratory basal cell	4
Schwann cell	228
secretory cell	391
skeletal muscle cell	163
skeletal muscle satellite cell	3582
smooth muscle cell	1419
smooth muscle cell of the pulmonary artery	130
smooth muscle cell of trachea	213
stem cell of epidermis	167
stromal cell	2517
T cell	10755
thymocyte	2422
type I pneumocyte	4
type II pneumocyte	219
valve cell	274
vein endothelial cell	319
ventricular myocyte	147

		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
